start	end	text
0	2000	.
30000	32000	.
60000	62000	.
90000	92000	.
120000	122000	.
150000	152000	.
180000	182000	.
210000	212000	.
240000	242000	.
270000	272000	.
300000	302000	.
330000	332000	.
360000	362000	.
390000	392000	.
420000	422000	.
450000	452000	.
480000	482000	.
510000	512000	.
540000	542000	.
570000	572000	.
600000	602000	.
630000	632000	.
660000	662000	Mr. Richard Fisher.
662000	664000	Ladies and gentlemen.
664000	680000	In February this year, Dean and I invited me to be the first visiting fellow of the Collins family international fellowship founded in honor of the late Congressman James Collins from Texas.
680000	696000	It's a program to highlight the careers of some of the world's most distinguished leaders so that these leaders may serve as role models for future generations of emerging leaders, students of public policy, scholars and practitioners.
696000	702000	That's in quotes I hesitated to accept.
702000	708000	Feeling that perhaps it sent it to the wrong person.
708000	718000	My work was on a small frame of an island some 224 square miles at low tide.
718000	724000	Not to be compared with a wide canvas of other world leaders.
724000	736000	First question I ask in writing this speech, are there lessons on leadership?
736000	746000	It's easier to recognize a man who is already a leader than to identify one before he becomes a leader.
746000	754000	During my 40 years in office I've met many foreign leaders in government, in the military and in business.
754000	769000	The characteristics they have in common were self-confidence, breath of mind, the ability to see the woods for the trees and the ability to communicate.
769000	777000	I'm familiar with most of the first generation of anti-colonial leaders to which I belong.
777000	788000	They all had strong nationalist anti-colonial convictions and wanted to prove that their people or their peoples could measure up to their former rulers.
788000	799000	Unhappily, many third world leaders who had successfully demolished the old order failed to build a new one.
799000	807000	Because building a new order demanded different and more complex capabilities.
807000	817000	Decision making in economics to achieve the highest returns on capital was not their forte.
817000	826000	They could enthuse their followers to keep up the fight against the old regime.
826000	834000	And they had oversimplified what needed to be done after the colonizers had handed over power.
834000	847000	Many leaders actually believed their own rhetoric that once they were rid of their exploiters, there would be wealth of plenty to go around.
847000	853000	And the economic models that they admired were socialists.
853000	861000	So why did these leaders follow the wrong model? Were they ignorant?
861000	869000	On the contrary, many like Michael Manley, the late prime minister of Jamaica, they were highly intelligent men.
869000	877000	And he was a graduate of a distinguished institution, the London School of Economics.
877000	885000	And they admired the early independence heroes, Nehru, Sukarno, Mao Tse Tung, Tito.
885000	893000	None of these early freedom fighters believed that wealth was something that had to be created by entrepreneurs.
893000	906000	People who raised capital, organized workers to produce goods and services that others wanted and would pay for because their prices were competitive.
906000	910000	They all believed that there were shortcuts to prosperity.
910000	916000	And they thought the best way was by state intervention.
916000	923000	This was a mistake that otherwise well-intentioned leaders like Julius Nyerere of Tanzania made.
923000	931000	He was a good, honest Christian, but held doctrinaire ideas on how to modernize Tanzania.
931000	938000	His policies were ill-suited for a small-scale African agricultural economy.
938000	945000	And both Julius Nyerere and Kenneth Cowen of Zambia failed to develop their economies.
